1,1
6,1
11,1
16,1
21,1
26,1
31,1
36,1
41,1
46,1
51,1
56,1
61,1
66,1
71,1
76,1
81,1
86,1
91,1
96,1
1,6
6,6
11,6
16,6
21,6
26,6
31,6
36,6
41,6
46,6
51,6
56,6
61,6
66,6
71,6
76,6
81,6
86,6
91,6
96,6
1,11
6,11
11,11
16,11
21,11
26,11
31,11
36,11
41,11
46,11
51,11
56,11
61,11
66,11
71,11
76,11
81,11
86,11
91,11
96,11
1,16
6,16
11,16
16,16
21,16
26,16
31,16
36,16
41,16
46,16
51,16
56,16
61,16
66,16
71,16
76,16
81,16
86,16
91,16
96,16
1,21
6,21
11,21
16,21
21,21
26,21
31,21
36,21
41,21
46,21
51,21
56,21
61,21
66,21
71,21
76,21
81,21
86,21
91,21
96,21
1,26
6,26
11,26
16,26
21,26
26,26
31,26
36,26
41,26
46,26
51,26
56,26
61,26
66,26
71,26
76,26
81,26
86,26
91,26
96,26
1,31
6,31
11,31
16,31
21,31
26,31
31,31
36,31
41,31
46,31
51,31
56,31
61,31
66,31
71,31
76,31
81,31
86,31
91,31
96,31
1,36
6,36
11,36
16,36
21,36
26,36
31,36
36,36
41,36
46,36
51,36
56,36
61,36
66,36
71,36
76,36
81,36
86,36
91,36
96,36
1,41
6,41
11,41
16,41
21,41
26,41
31,41
36,41
41,41
46,41
51,41
56,41
61,41
66,41
71,41
76,41
81,41
86,41
91,41
96,41
1,46
6,46
11,46
16,46
21,46
26,46
31,46
36,46
41,46
46,46
51,46
56,46
61,46
66,46
71,46
76,46
81,46
86,46
91,46
96,46
